#/npc/std/pet.c
SaveDatabase (["show_time":477,"ignore_level":1,])
SaveDbase2 ([])
Con 28
Spi 38
Str 52
Cps 20
Dex 34
HP (/404,404,/)
MP (/164,164,/)
HP_Cent 50
AP 201
DP 145
CP 124
PP 68
SP 86
mpPerform ([])
Family (/0,0,0,0,0,0,0,/)
Org (/0,0,0,0,0,0,0,/)
City (/0,0,0,0,0,0,0,/)
Skills (["74201":(/1,0,/),"74214":(/1,0,/),"74204":(/1,0,/),"74212":(/1,0,/),])
WeaponCode 60
Name "木精"
PicId 951
Owner 
OwnerNumber 247
Level 8
Effect ({0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,})
pet_id "247_1270993684"
FirstOwnerId 247
FirstOwnerName "海盗船长"
birthday 1270993684
OwnerTime 1270993684
FirstName "木精"
OwnerName "海盗船长"
OwnerAccount "30332192"
OwnerNumber 247
lifetime 8734
faith 100
blood 1
Experience 148
iPortrait 951
con_grow 1475
str_grow 1079
cps_grow 1189
mp_grow 1004
ma_grow 806
md_grow 906
dex_grow 1426
