2010-03-24 19:15:37 test1(2) 取回点卡收益100
2010-03-24 19:15:40 test1(2) 赎回点卡成功
2010-03-24 19:15:43 test1(2) 赎回点卡成功
2010-03-24 19:15:46 test1(2) 取回点卡收益100
2010-04-09 17:40:12 330435109#3(6) 寄售200点卡 价格100000 时间24
2010-04-09 17:40:12 330435109#3(6) 寄售点卡成功
2010-04-09 17:41:29 330435109#3(6) 购买点卡123价格12000
2010-04-09 17:41:31 330435109#3(6) 购买点卡花费12000成功
2010-04-09 17:42:20 330435109#3(6) 取回点卡收益100
2010-04-09 17:42:23 330435109#3(6) 赎回点卡成功
2010-04-09 17:42:24 330435109#3(6) 取回点卡收益100
2010-04-09 17:42:24 330435109#3(6) 取回点卡收益100
2010-04-09 17:42:25 330435109#3(6) 取回点卡收益100
2010-04-09 17:42:26 330435109#3(6) 取回点卡收益100
