2007-11-22 15:00:16 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2007-11-29 12:00:15 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2007-11-29 13:00:17 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2010-03-25 13:00:15 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2010-04-07 17:00:15 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2010-04-07 21:00:15 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2010-04-08 13:00:15 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2010-04-08 14:00:16 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
2010-04-08 15:00:15 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
2010-04-08 19:00:15 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1
2010-04-08 20:00:15 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1
2010-04-08 21:00:16 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2010-04-09 13:00:15 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1
2010-04-10 00:00:15 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0
2010-04-10 16:00:15 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0
2010-04-14 19:00:16 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1
2010-04-14 21:00:15 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
