normal:2 reconnect:0 netdead=0 kickout=0
normal:2 reconnect:0 netdead=0 kickout=0
normal:3 reconnect:0 netdead=0 kickout=0
normal:4 reconnect:0 netdead=0 kickout=0
normal:3 reconnect:0 netdead=0 kickout=0
normal:5 reconnect:0 netdead=0 kickout=0
normal:7 reconnect:0 netdead=0 kickout=0
normal:1 reconnect:0 netdead=0 kickout=0
normal:3 reconnect:0 netdead=0 kickout=0
normal:1 reconnect:0 netdead=0 kickout=0
normal:2 reconnect:0 netdead=0 kickout=0
normal:2 reconnect:0 netdead=0 kickout=0
normal:5 reconnect:0 netdead=0 kickout=0
normal:10 reconnect:0 netdead=0 kickout=0
normal:13 reconnect:0 netdead=0 kickout=0
normal:12 reconnect:0 netdead=0 kickout=0
normal:19 reconnect:0 netdead=0 kickout=0
normal:19 reconnect:0 netdead=0 kickout=0
normal:7 reconnect:0 netdead=0 kickout=0
